"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-08-31,3786,"Brandenburg","KY","Elizabethtown-Fort Knox","Meade County",4412,144700,0.00906555090655509,0.00976971388695045,0.0758364312267658,0.0481139500358925,0.0261306802387624,"2019-08","2019-Q3",144700,0,"2019-08"
2019-08-31,398209,"Chester","NY","New York-Newark-Jersey City","Orange County",4413,286100,0.00385964912280702,0.00668543279380718,0.0332249909714698,0.0399587374177384,0.00363688937405127,"2006-07","2006-Q3",341400,-0.161980082015231,"2004-01"
2019-08-31,31135,"Cullowhee","NC","Cullowhee","Jackson County",4414,206800,0.010752688172043,0.0268123138033764,0.0867052023121387,0.0359776696183431,0.0159692943733221,"2008-01","2008-Q1",221400,-0.0659439927732611,"2006-10"
2019-08-31,27912,"Westwood","NJ","New York-Newark-Jersey City","Bergen County",4415,455600,0.000878734622144112,-0.00827165868524162,-0.0134257254222607,0.0183034142855281,0.00695314123586788,"2006-04","2006-Q2",507400,-0.102089081592432,"2005-02"
2019-08-31,15079,"Alcoa","TN","Knoxville","Blount County",4416,148100,0.00338753387533875,0.0150788211103496,0.0978502594514455,0.076171631348269,0.0313180441387657,"2019-08","2019-Q3",148100,0,"2019-08"
2019-08-31,38925,"Havana","FL","Tallahassee","Gadsden County",4417,164300,0.0024405125076266,0.00366524129505192,0.0116995073891626,0.0594388682368641,0.0195344142357328,"2007-04","2007-Q2",178900,-0.0816098378982672,"2006-01"
2019-08-31,13717,"Santa Rosa Beach","FL","Crestview-Fort Walton Beach-Destin","Walton County",4418,551900,0.00163339382940109,0.00564868804664723,0.0772984579348038,0.0776654495143609,0.0500367998822351,"2005-10","2005-Q4",638200,-0.135224067690379,"2005-03"
2019-08-31,49606,"Rockwood","TN","Knoxville","Roane County",4419,105400,0.00476644423260248,0.0456349206349206,0.145652173913043,0.0856071300650658,0.0274447000037659,"2019-08","2019-Q3",105400,0,"2019-08"
2019-08-31,16100,"Thonotosassa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",4420,233100,-0.0012853470437018,0.0112798264642082,0.0309597523219814,0.113129213258097,0.0481853605657574,"2019-02","2019-Q1",239200,-0.0255016722408027,"2018-11"
2019-08-31,5746,"Macedonia","OH","Akron","Summit County",4421,224000,-0.000446229361892012,0.0081008100810081,0.0360777058279371,0.0466930368707623,0.0274261036090779,"2019-07","2019-Q3",224100,-0.000446229361892012,"2019-07"
2019-08-31,50015,"Wallington","NJ","New York-Newark-Jersey City","Bergen County",4422,388400,0.00439617274372899,0.00232258064516129,0.0296924708377519,0.0489141613643966,0.0146281837771898,"2006-07","2006-Q3",437600,-0.112431444241316,"2005-05"
2019-08-31,15816,"Milan","TN",,"Gibson County",4423,90400,0.0214689265536723,0.0672963400236127,0.0414746543778802,0.0386120728141663,0.0163053436453291,"2019-08","2019-Q3",90400,0,"2019-08"
2019-08-31,57023,"Rochester","WA","Olympia-Tumwater","Thurston County",4424,322400,0.00624219725343321,0.0303611377436881,0.0980926430517711,0.0934002303053718,0.0373176095640546,"2019-08","2019-Q3",322400,0,"2019-08"
2019-08-31,6597,"Powell","WY",,"Park County",4425,231300,0.00960279353993889,0.00696560731388768,0.0175978882534096,0.040560797183671,0.028403202640038,"2019-03","2019-Q1",234800,-0.0149063032367973,"2019-01"
2019-08-31,16079,"Wallace","NC",,"Duplin County",4426,97400,-0.00307062436028659,0.00308959835221421,-0.0679425837320574,0.0357796640780921,0.00165772507676287,"2018-09","2018-Q3",105300,-0.0750237416904084,"2018-03"
2019-08-31,17327,"Carver","MA","Boston-Cambridge-Newton","Plymouth County",4427,469600,-0.0023369449755683,-0.0148940633522131,-0.0228880565959218,0.0441319666061875,0.0269055396925015,"2019-02","2019-Q1",493300,-0.0480437867423475,"2018-07"
2019-08-31,124049,"Country Walk","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",4428,369300,0.00135574837310195,-0.000811688311688312,0.0281180400890869,0.0679039528675145,0.0558329255747991,"2006-10","2006-Q4",387200,-0.0462293388429752,"2006-05"
2019-08-31,36819,"Cottondale","AL","Tuscaloosa","Tuscaloosa County",4429,142000,0.00282485875706215,0,0.0157367668097282,0.0192305215363575,0.0141386125694436,"2019-02","2019-Q1",148000,-0.0405405405405405,"2018-09"
2019-08-31,29538,"Soddy-Daisy","TN","Chattanooga","Hamilton County",4430,154000,0,-0.00964630225080386,0.0440677966101695,0.105184458089103,0.0420583907121581,"2019-05","2019-Q2",155500,-0.00964630225080386,"2019-02"
2019-08-31,20191,"River Forest","IL","Chicago-Naperville-Elgin","Cook County",4431,500800,-0.00694031330557208,-0.0201526120133046,-0.0531291359425222,0.00987033437738516,0.00636760002117454,"2007-02","2007-Q1",608600,-0.177127834373973,"2004-05"
2019-08-31,398358,"Wantage","NJ","New York-Newark-Jersey City","Sussex County",4432,241700,0.00666389004581424,0.0172558922558923,0.0346746575342466,0.0189920457484585,-0.00261004818458732,"2006-10","2006-Q4",321800,-0.248912367930392,"2003-12"
2019-08-31,5901,"Mendota Heights","MN","Minneapolis-St. Paul-Bloomington","Dakota County",4433,410900,-0.00820661356504948,-0.00820661356504948,0.0331908473723913,0.046865333776039,0.0298815575853477,"2019-06","2019-Q2",416800,-0.0141554702495202,"2019-05"
2019-08-31,23749,"Bluefield","VA","Bluefield","Tazewell County",4434,94400,0.00854700854700855,0.0272034820457018,0.0727272727272727,0.0146014897906517,0.00312508300935388,"2019-08","2019-Q3",94400,0,"2019-08"
2019-08-31,27392,"Terry","MS","Jackson","Hinds County",4435,188400,0.00910551687198714,0.0129032258064516,0.0632054176072235,0.0716430452182335,0.0457923031022778,"2019-08","2019-Q3",188400,0,"2019-08"
2019-08-31,4344,"Delphos","OH","Lima","Allen County",4436,108600,0.00462534690101758,0.0140056022408964,0.0636630754162586,0.0512158305913033,0.0302662621732794,"2019-08","2019-Q3",108600,0,"2019-08"
2019-08-31,3624,"Bellville","TX","Houston-The Woodlands-Sugar Land","Austin County",4437,210600,0.00190294957183635,-0.00425531914893617,0.0198547215496368,0.0477374418820651,0.0349295250916679,"2019-01","2019-Q1",213400,-0.0131208997188379,"2018-11"
2019-08-31,4045,"Channahon","IL","Chicago-Naperville-Elgin","Will County",4438,235500,0.00212765957446809,0.000849978750531237,0.0265911072362685,0.0459728773490256,0.0131296919640302,"2007-05","2007-Q2",238800,-0.0138190954773869,"2006-02"
2019-08-31,7024,"Shady Hills","FL","Tampa-St. Petersburg-Clearwater","Pasco County",4439,207800,0.0028957528957529,0.00483558994197292,0.0489651691065119,0.08188103024156,0.0342396042199056,"2006-07","2006-Q3",235700,-0.118370810352143,"2005-07"
2019-08-31,29651,"Goldenrod","FL","Orlando-Kissimmee-Sanford","Orange County",4440,244000,0.000410004100041,0.00618556701030928,0.0490111779879622,0.0947113525143348,0.0509119664726765,"2006-08","2006-Q3",251500,-0.0298210735586481,"2006-05"
2019-08-31,395684,"Lunenburg","MA","Worcester","Worcester County",4441,315600,0.00445576066199873,0.0170802449242668,0.0280130293159609,0.0567354951061305,0.0273774271234586,"2019-08","2019-Q3",315600,0,"2019-08"
2019-08-31,18859,"Knoxville","IA","Pella","Marion County",4442,116700,0.0130208333333333,0.0391807658058771,0.101983002832861,0.045549974970444,0.0245131526814308,"2019-08","2019-Q3",116700,0,"2019-08"
